Player,Squad,Comp,Pos,primary_pos,Age,nineties,market_value_in_eur,market_value_eur_M,valuation_date,pos_group,perf_score,value_score
Jonas Hofmann,M'Gladbach,Bundesliga,FW,FW,30,15.6,13000000.0,13.0,2023-06-22,FW,2.6067179487179484,0.20051676528599602
Jonas Hofmann,M'Gladbach,Bundesliga,FW,FW,30,15.6,150000.0,0.15,2023-06-19,FW,2.6067179487179484,17.378119658119658
Philipp Hofmann,Bochum,Bundesliga,FW,FW,29,16.2,2800000.0,2.8,2023-06-22,FW,1.1810987654320988,0.421820987654321
Franck Honorat,Brest,Ligue 1,FWMF,FW,26,19.2,10000000.0,10.0,2023-06-27,FW,1.8102499999999997,0.18102499999999996
Adrien Hunou,Angers,Ligue 1,FWMF,FW,29,17.7,2500000.0,2.5,2023-06-27,FW,0.9024915254237289,0.3609966101694916
Rasmus Højlund,Atalanta,Serie A,FW,FW,20,10.6,45000000.0,45.0,2023-06-15,FW,1.634698113207547,0.03632662473794549
Mounaim El Idrissy,Ajaccio,Ligue 1,FW,FW,24,17.7,,,,FW,0.8059887005649718,
Borja Iglesias,Betis,La Liga,FW,FW,30,16.4,20000000.0,20.0,2023-06-13,FW,1.355780487804878,0.0677890243902439
Jonathan Ikone,Fiorentina,Serie A,FW,FW,24,13.0,,,,FW,1.196846153846154,
Ciro Immobile,Lazio,Serie A,FW,FW,32,13.2,15000000.0,15.0,2023-06-15,FW,1.9853030303030303,0.13235353535353536
Junya Ito,Reims,Ligue 1,FW,FW,29,16.8,10000000.0,10.0,2023-06-27,FW,1.525095238095238,0.15250952380952382
Gabriel Jesus,Arsenal,Premier League,FW,FW,25,13.5,75000000.0,75.0,2023-06-20,FW,2.26637037037037,0.030218271604938268
Brennan Johnson,Nott'ham Forest,Premier League,FW,FW,21,20.0,38000000.0,38.0,2023-06-20,FW,1.025,0.026973684210526313
Joselu,Espanyol,La Liga,FW,FW,32,19.0,6000000.0,6.0,2023-06-13,FW,1.4819473684210525,0.2469912280701754
Luka Jovi?,Fiorentina,Serie A,FWMF,FW,25,11.2,,,,FW,1.0178571428571428,
Vinicius Júnior,Real Madrid,La Liga,FW,FW,22,19.5,,,,FW,2.141974358974359,
Arnaud Kalimuendo,Rennes,Ligue 1,FW,FW,21,10.8,22000000.0,22.0,2023-06-27,FW,1.1013703703703703,0.05006228956228956
Jakub Kami?ski,Wolfsburg,Bundesliga,FWMF,FW,20,12.6,,,,FW,1.4523650793650793,
Harry Kane,Tottenham,Premier League,FW,FW,29,22.8,90000000.0,90.0,2023-06-20,FW,2.084614035087719,0.023162378167641325
Wilfried Kanga,Hertha BSC,Bundesliga,FW,FW,24,13.0,3000000.0,3.0,2023-06-22,FW,0.9078461538461539,0.3026153846153846
Silas Katompa,Stuttgart,Bundesliga,FWDF,FW,24,13.3,,,,FW,1.449563909774436,
Randal Kolo Muani,Eint Frankfurt,Bundesliga,FW,FW,24,16.0,80000000.0,80.0,2023-06-22,FW,2.8865,0.036081249999999995
Christian Kouamé,Fiorentina,Serie A,FW,FW,25,15.0,12000000.0,12.0,2023-06-15,FW,1.637333333333333,0.13644444444444442
Takefusa Kubo,Real Sociedad,La Liga,FWMF,FW,21,13.9,25000000.0,25.0,2023-06-13,FW,1.5428273381294966,0.06171309352517986
Khvicha Kvaratskhelia,Napoli,Serie A,FW,FW,22,13.7,85000000.0,85.0,2023-06-15,FW,3.3619416058394163,0.03955225418634607
Grejohn Kyei,Clermont Foot,Ligue 1,FW,FW,27,12.0,2500000.0,2.5,2023-06-27,FW,1.056,0.4224
Gaëtan Laborde,Nice,Ligue 1,FW,FW,28,15.5,16000000.0,16.0,2023-06-27,FW,1.2340967741935485,0.07713104838709678
Alexandre Lacazette,Lyon,Ligue 1,FW,FW,31,21.4,14000000.0,14.0,2023-06-27,FW,2.054476635514019,0.1467483311081442
Érik Lamela,Sevilla,La Liga,FWMF,FW,30,13.5,,,,FW,1.572222222222222,
Kevin Lasagna,Hellas Verona,Serie A,FWMF,FW,30,12.4,1800000.0,1.8,2023-06-15,FW,1.0146451612903227,0.5636917562724014
Armand Lauriente,Sassuolo,Serie A,FW,FW,24,13.6,,,,FW,2.1021176470588236,
Jérémy Le Douaron,Brest,Ligue 1,FWMF,FW,24,10.6,4500000.0,4.5,2023-06-27,FW,1.223698113207547,0.2719329140461216
Rafael Leão,Milan,Serie A,FWMF,FW,23,16.9,90000000.0,90.0,2023-06-15,FW,2.250372781065088,0.025004142011834315
Sergio León,Valladolid,La Liga,FW,FW,34,10.1,2000000.0,2.0,2023-06-13,FW,1.2190495049504948,0.6095247524752474
Robert Lewandowski,Barcelona,La Liga,FW,FW,34,14.8,30000000.0,30.0,2023-06-13,FW,2.5209459459459462,0.08403153153153155
Ademola Lookman,Atalanta,Serie A,FWMF,FW,25,14.4,30000000.0,30.0,2023-06-15,FW,2.8533333333333335,0.09511111111111112
Anthony Lozano,Cádiz,La Liga,FW,FW,29,12.7,,,,FW,0.559,
Hirving Lozano,Napoli,Serie A,FW,FW,27,10.9,25000000.0,25.0,2023-06-15,FW,1.892229357798165,0.07568917431192661
Dodi Lukebakio,Hertha BSC,Bundesliga,FWMF,FW,25,16.5,,,,FW,1.4472424242424242,
Riyad Mahrez,Manchester City,Premier League,FWMF,FW,31,10.0,20000000.0,20.0,2023-06-20,FW,2.96,0.148
Linton Maina,Köln,Bundesliga,FWMF,FW,23,12.2,6000000.0,6.0,2023-06-22,FW,1.727934426229508,0.28798907103825133
Sadio Mané,Bayern Munich,Bundesliga,FW,FW,30,10.1,25000000.0,25.0,2023-06-22,FW,2.647059405940594,0.10588237623762377
