Player,Squad,Comp,Pos,primary_pos,Age,nineties,Fls,CrdY,CrdR,fouls_per90,card_rate_per90
Álvaro Morata,Atlético Madrid,La Liga,FW,FW,30,12.9,1.71,0.23,0.0,1.71,0.23
Wilfred Ndidi,Leicester City,Premier League,MFDF,MF,26,10.0,1.7,0.3,0.0,1.7,0.3
Kevin Lasagna,Hellas Verona,Serie A,FWMF,FW,30,12.4,1.69,0.08,0.0,1.69,0.08
Nikola Milenkovi?,Fiorentina,Serie A,DF,DF,25,14.3,1.68,0.14,0.0,1.68,0.14
Yunus Musah,Valencia,La Liga,MF,MF,20,15.5,1.68,0.45,0.0,1.68,0.45
Luke Shaw,Manchester Utd,Premier League,DF,DF,27,16.7,1.68,0.24,0.0,1.68,0.24
Dodô,Fiorentina,Serie A,DF,DF,24,13.2,1.67,0.38,0.08,1.67,0.54
Christian Kouamé,Fiorentina,Serie A,FW,FW,25,15.0,1.67,0.2,0.0,1.67,0.2
Lautaro Martínez,Inter,Serie A,FW,FW,25,18.6,1.67,0.05,0.0,1.67,0.05
Matheus Nunes,Wolves,Premier League,MF,MF,24,15.6,1.67,0.06,0.0,1.67,0.06
Victor Osimhen,Napoli,Serie A,FW,FW,24,15.6,1.67,0.13,0.0,1.67,0.13
Matías Vecino,Lazio,Serie A,MF,MF,31,10.8,1.67,0.19,0.0,1.67,0.19
Maxence Caqueret,Lyon,Ligue 1,MF,MF,22,16.3,1.66,0.12,0.0,1.66,0.12
Lassana Coulibaly,Salernitana,Serie A,MF,MF,26,17.5,1.66,0.34,0.0,1.66,0.34
Marcos Acuña,Sevilla,La Liga,DF,DF,31,10.9,1.65,0.46,0.09,1.65,0.64
Assan Ceesay,Lecce,Serie A,FW,FW,28,10.3,1.65,0.1,0.0,1.65,0.1
Cristian Romero,Tottenham,Premier League,DF,DF,24,13.3,1.65,0.53,0.08,1.65,0.69
Beto,Udinese,Serie A,FW,FW,25,13.4,1.64,0.07,0.0,1.64,0.07
Anthony Gordon,Everton,Premier League,FW,FW,21,12.2,1.64,0.49,0.0,1.64,0.49
Rominigue Kouamé,Troyes,Ligue 1,MF,MF,26,18.9,1.64,0.21,0.0,1.64,0.21
Riccardo Orsolini,Bologna,Serie A,FW,FW,26,12.8,1.64,0.23,0.08,1.64,0.39
Islam Slimani,Brest,Ligue 1,FW,FW,34,11.0,1.64,0.45,0.0,1.64,0.45
Igor Zubeldia,Real Sociedad,La Liga,DF,DF,25,14.0,1.64,0.36,0.0,1.64,0.36
Kevin Agudelo,Spezia,Serie A,MFFW,MF,24,16.0,1.63,0.13,0.0,1.63,0.13
